Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
no_tls_15_708B,total,13108276,2623.374499917412,34387916996.27941,131082.75
no_tls_15_708B,setup,13108276,2623.374499917412,34387916996.27941,131082.75
no_tls_15_708B,compute,0,0,0,0
no_tls_15_708B,send,0,0,0,0
no_tls_15_708B,sleep,0,0,0,0
no_tls_15_708B,modem,1215734,27739.245959070824,33723544446.805008,12157.340000000011
no_tls_15_708B,system_above_10uA,0,0,0,0
no_tls_15_708B,system_above_20uA,0,0,0,0
no_tls_15_708B,system_above_40uA,0,0,0,0
no_tls_15_708B,system_above_80uA,0,0,0,0
no_tls_15_708B,system_above_160uA,0,0,0,0
tls_15_256B,total,13662398,4074.1518555036323,55662684162.32912,136623.97
tls_15_256B,setup,1657344,22207.26224312752,36805072835.07394,16573.43
tls_15_256B,compute,1436,19550.888489415385,28075075.870800495,14.359999999993306
tls_15_256B,send,3900,8444.25534109665,32932595.830276933,38.999999999992724
tls_15_256B,sleep,11999718,1566.4204489044846,18796603656.287224,119997.18
tls_15_256B,modem,1933940,28084.07426490135,54312914583.86331,19339.39999999995
tls_15_256B,system_above_10uA,1622924,11559.716944394004,18760542062.263695,18760542062.263695
tls_15_256B,system_above_20uA,1556060,12055.779160791843,18759515720.941753,18759515720.941753
tls_15_256B,system_above_40uA,825495,22699.975669852844,18738716415.585175,18738716415.585175
tls_15_256B,system_above_80uA,824588,22724.886780582092,18738668940.626625,18738668940.626625
tls_15_256B,system_above_160uA,823390,22757.776198875512,18738525344.39211,18738525344.39211
no_tls_20_708B,total,13447394,3239.673939078048,43565171890.31451,134473.93
no_tls_20_708B,setup,1398011,19919.10005660614,27847120989.236008,13980.099999999999
no_tls_20_708B,compute,45927,18261.51804938515,838696739.4541118,459.2699999999968
no_tls_20_708B,send,3730,8532.125445570306,31824827.91197724,37.300000000010186
no_tls_20_708B,sleep,11999726,1237.3223633534901,14847529333.914324,119997.25999999998
no_tls_20_708B,modem,1543881,27434.62664159801,42355798814.05698,15438.809999999987
no_tls_20_708B,system_above_10uA,1424154,10400.027246412808,14811240403.087786,14811240403.087786
no_tls_20_708B,system_above_20uA,1357028,10913.710412625607,14810210613.824503,14810210613.824503
no_tls_20_708B,system_above_40uA,669900,22078.913754309375,14790664324.01185,14790664324.01185
no_tls_20_708B,system_above_80uA,668980,22109.207417743153,14790617578.321815,14790617578.321815
no_tls_20_708B,system_above_160uA,667897,22144.863100626964,14790487630.319448,14790487630.319448
no_tls_15_1416B,total,13752946,3640.581518937881,50068721038.55065,137529.45
no_tls_15_1416B,setup,1748024,20360.76522937564,35591106279.314125,17480.23
no_tls_15_1416B,compute,1435,21321.663077367666,30596586.5160226,14.349999999994907
no_tls_15_1416B,send,3763,7970.45383564758,29992817.783541843,37.63000000000466
no_tls_15_1416B,sleep,11999724,1201.446412865544,14417025355.176577,119997.24
no_tls_15_1416B,modem,1723890,28337.848352755784,48851333396.83217,17238.900000000045
no_tls_15_1416B,system_above_10uA,1407467,10217.216172729408,14380394594.98294,14380394594.98294
no_tls_15_1416B,system_above_20uA,1343630,10701.908763087165,14379405671.346807,14379405671.346807
no_tls_15_1416B,system_above_40uA,655410,21909.645986095667,14359801075.746962,14359801075.746962
no_tls_15_1416B,system_above_80uA,654437,21942.145756214846,14359752042.259975,14359752042.259975
no_tls_15_1416B,system_above_160uA,653283,21980.6923312088,14359612628.209078,14359612628.209078
tls_25_1024B,total,15072380,4314.7246084454255,65033168893.84066,150723.78999999998
tls_25_1024B,setup,1638088,22341.427686865718,36597224596.72249,16380.869999999999
tls_25_1024B,compute,1469022,6890.614782630121,10122464709.208866,14690.220000000001
tls_25_1024B,send,7521,7138.56675081724,53689160.53289646,75.20999999999913
tls_25_1024B,sleep,11957749,1527.0257327354332,18259790428.591393,119577.48999999999
tls_25_1024B,modem,2116596,28579.67041666671,60491616085.23509,21165.960000000076
tls_25_1024B,system_above_10uA,1804890,10097.176888169195,18224293593.6877,18224293593.6877
tls_25_1024B,system_above_20uA,1728671,10541.692833055602,18223118691.41106,18223118691.41106
tls_25_1024B,system_above_40uA,857637,21219.09403007778,18198280146.673817,18198280146.673817
tls_25_1024B,system_above_80uA,855917,21261.626728025552,18198187764.171448,18198187764.171448
tls_25_1024B,system_above_160uA,854126,21305.95821793816,18197972868.85465,18197972868.85465
tls_15_2048B,total,13307881,3446.181404777359,45861372039.189926,133078.80000000002
tls_15_2048B,setup,1301872,21733.35515992674,28294046548.764145,13018.710000000001
tls_15_2048B,compute,1437,15168.336426455633,21796899.444816746,14.369999999988067
tls_15_2048B,send,4850,11568.091101273723,56105241.84117756,48.500000000010914
tls_15_2048B,sleep,11999722,1457.485710908471,17489423349.87402,119997.22000000002
tls_15_2048B,modem,1603866,27732.73230332381,44479586428.40275,16038.660000000009
tls_15_2048B,system_above_10uA,1685394,10355.558491190555,17453196147.701614,17453196147.701614
tls_15_2048B,system_above_20uA,1605782,10868.199438863756,17451959031.33752,17451959031.33752
tls_15_2048B,system_above_40uA,792808,21983.770106829335,17428908810.855152,17428908810.855152
tls_15_2048B,system_above_80uA,791688,22014.79795642329,17428851364.52484,17428851364.52484
tls_15_2048B,system_above_160uA,790549,22046.341924405522,17428713561.99686,17428713561.99686
tls_20_1024B,total,13730831,3906.0473484516865,53633276019.58822,137308.3
tls_20_1024B,setup,1680851,21753.493981978892,36564382113.1032,16808.5
tls_20_1024B,compute,45930,18220.021410427617,836845583.3809404,459.3000000000102
tls_20_1024B,send,4330,10067.627755333508,43592828.18059409,43.29999999999927
tls_20_1024B,sleep,11999720,1349.0694362195468,16188455495.19242,119997.19999999998
tls_20_1024B,modem,1835465,28414.1702073036,52153214919.5485,18354.6499999999
tls_20_1024B,system_above_10uA,1572333,10272.32319927339,16151512752.883127,16151512752.883127
tls_20_1024B,system_above_20uA,1497967,10781.523165204191,16150365911.211426,16150365911.211426
tls_20_1024B,system_above_40uA,727326,22174.88802540491,16128372607.965652,16128372607.965652
tls_20_1024B,system_above_80uA,726543,22198.72950259028,16128331529.000448,16128331529.000448
tls_20_1024B,system_above_160uA,725378,22234.18722624013,16128190261.795614,16128190261.795614
tls_10_1024B,total,13734809,3930.173242101279,53980178817.17182,137348.08000000002
tls_10_1024B,setup,1730740,21386.150517536662,37013866146.721405,17307.39
tls_10_1024B,compute,44,12051.425782661285,530262.7344370965,0.4400000000023283
tls_10_1024B,send,4303,10323.33285522197,44421301.27602014,43.030000000002474
tls_10_1024B,sleep,11999722,1410.1460939431713,16921361106.70394,119997.21999999999
tls_10_1024B,modem,1820436,28420.433623215762,51737580503.31241,18204.360000000008
tls_10_1024B,system_above_10uA,1649462,10235.95305169634,16883815592.557148,16883815592.557148
tls_10_1024B,system_above_20uA,1573989,10726.028902852133,16882651506.771326,16882651506.771326
tls_10_1024B,system_above_40uA,758258,22234.362892722624,16859383538.31007,16859383538.31007
tls_10_1024B,system_above_80uA,756970,22272.106465301506,16859316431.03928,16859316431.03928
tls_10_1024B,system_above_160uA,755894,22303.64054949425,16859188069.519405,16859188069.519405
tls_25_708B,total,14994512,4116.246531293291,61721108008.43562,149945.11000000002
tls_25_708B,setup,1519455,22583.038187305116,34313910288.891697,15194.54
tls_25_708B,compute,1467944,6476.946858543296,9507795279.31748,14679.439999999999
tls_25_708B,send,7391,7124.417424638593,52656569.18550384,73.90999999998894
tls_25_708B,sleep,11999722,1487.2632776002786,17846745872.01217,119997.22000000002
tls_25_708B,modem,1983890,28767.354028574966,57071265983.74959,19838.89999999994
tls_25_708B,system_above_10uA,1647061,10813.47241090426,17810448682.57638,17810448682.57638
tls_25_708B,system_above_20uA,1580281,11269.779033677902,17809417681.11955,17809417681.11955
tls_25_708B,system_above_40uA,817986,21745.61211432133,17787606270.945248,17787606270.945248
tls_25_708B,system_above_80uA,816977,21772.40361919972,17787552991.60293,17787552991.60293
tls_25_708B,system_above_160uA,815505,21811.48599871197,17787375889.379604,17787375889.379604
tls_15_708B,total,13689955,3898.771310701043,53374003798.7883,136899.54
tls_15_708B,setup,1684629,21647.819344826054,36468544255.05497,16846.280000000002
tls_15_708B,compute,1436,21345.556426387266,30652219.028292116,14.360000000000582
tls_15_708B,send,4167,9474.317339339608,39479480.35302815,41.67000000000189
tls_15_708B,sleep,11999723,1402.9763724221552,16835327844.610703,119997.23
tls_15_708B,modem,1797035,28430.593696491458,51090771943.37453,17970.350000000017
tls_15_708B,system_above_10uA,1634266,10279.303109349044,16799115575.303427,16799115575.303427
tls_15_708B,system_above_20uA,1555828,10796.759210376425,16797900288.761534,16797900288.761534
tls_15_708B,system_above_40uA,757710,22139.420944353107,16775260643.745792,16775260643.745792
tls_15_708B,system_above_80uA,756751,22167.412440309752,16775211531.616844,16775211531.616844
