Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
no_tls_20_256B,total,13164505,3319.0421667300407,43693547199.128456,131645.04
no_tls_20_256B,setup,1115075,25436.858813716226,28364005341.70462,11150.74
no_tls_20_256B,compute,45972,18995.432469625917,873258021.4936427,459.71999999999025
no_tls_20_256B,send,3729,7970.461804361393,29721852.068463635,37.29000000000269
no_tls_20_256B,sleep,11999729,1202.2406492736739,14426561984.068132,119997.29000000002
no_tls_20_256B,modem,1504355,28310.124690994096,42588477629.520424,15043.550000000068
no_tls_20_256B,system_above_10uA,1448763,9934.891278802006,14393302893.751032,14393302893.751032
no_tls_20_256B,system_above_20uA,1338549,10751.751354440357,14391746023.734787,14391746023.734787
no_tls_20_256B,system_above_40uA,656800,21881.91976093291,14372044898.980736,14372044898.980736
no_tls_20_256B,system_above_80uA,646388,22233.67814501168,14371582748.79781,14371582748.79781
no_tls_20_256B,system_above_160uA,644728,22290.619029023623,14371386225.344341,14371386225.344341
no_tls_20_512B,total,13583344,10173.600755449097,138191518779.92496,135833.43
no_tls_20_512B,setup,4031692,23443.52856575727,94517086570.33507,40316.909999999996
no_tls_20_512B,compute,46006,19617.015486604127,902500414.4767095,460.06000000000495
no_tls_20_512B,send,801,7343.736069570728,5882332.591726153,8.009999999994761
no_tls_20_512B,sleep,9504845,4499.394725726889,42766049461.85159,95048.45
no_tls_20_512B,modem,4458159,30501.21632909391,135979272088.49698,44581.589999999655
no_tls_20_512B,system_above_10uA,9379743,4559.3333026694945,42765374630.38107,42765374630.38107
no_tls_20_512B,system_above_20uA,9074756,4712.038262433152,42760597494.24483,42760597494.24483
no_tls_20_512B,system_above_40uA,2034110,20915.211912659473,42543841703.65976,42543841703.65976
no_tls_20_512B,system_above_80uA,2022574,21034.254136201132,42543335525.27287,42543335525.27287
no_tls_20_512B,system_above_160uA,2018983,21071.450811672672,42542900974.103325,42542900974.103325
no_tls_10_256B,total,12925294,7951.678654059238,102777784397.23994,129252.93
no_tls_10_256B,setup,921808,24430.731417391893,22520443666.403187,9218.07
no_tls_10_256B,compute,45,17915.857976774816,806213.6089548668,0.4500000000007276
no_tls_10_256B,send,3711,7521.739422166741,27913174.995660774,37.109999999996944
no_tls_10_256B,sleep,11999730,6685.868877228053,80228621342.13979,119997.29999999999
no_tls_10_256B,modem,3362419,30311.544834058,101920114269.38847,33624.17999999999
no_tls_10_256B,system_above_10uA,4623283,17348.15918334971,80205449433.6746,80205449433.6746
no_tls_10_256B,system_above_20uA,4478396,17908.93321418056,80203294870.65337,80203294870.65337
no_tls_10_256B,system_above_40uA,2720115,29465.909758033227,80150663121.47255,80150663121.47255
no_tls_10_256B,system_above_80uA,2709410,29582.155156700974,80150187003.11719,80150187003.11719
no_tls_10_256B,system_above_160uA,2707125,29607.023773811925,80149914233.6806,80149914233.6806
no_tls_10_512B,total,13586180,6509.559675879101,88440049477.23512,135861.78999999998
no_tls_10_512B,setup,3407591,21663.076550359798,73818904685.3171,34075.899999999994
no_tls_10_512B,compute,45,13306.195575490576,598778.8008970759,0.4500000000043656
no_tls_10_512B,send,3702,7349.071536591604,27206262.828462116,37.0199999999968
no_tls_10_512B,sleep,10174842,1434.257136424695,14593339750.493717,101748.42
no_tls_10_512B,modem,2822840,30906.21431706457,87243298022.78255,28228.40000000002
no_tls_10_512B,system_above_10uA,1462311,9960.935279958674,14565985230.17165,14565985230.17165
no_tls_10_512B,system_above_20uA,1366441,10658.800458611015,14564621957.464893,14564621957.464893
no_tls_10_512B,system_above_40uA,664025,21903.098210776054,14544204789.41057,14544204789.41057
no_tls_10_512B,system_above_80uA,655888,22174.2708591897,14543838165.292213,14543838165.292213
no_tls_10_512B,system_above_160uA,654178,22231.928450469713,14543638489.871376,14543638489.871376
tls_10_512B,total,13067576,9920.867262424517,129641686937.64432,130675.75000000001
tls_10_512B,setup,1067316,24638.02837757397,26296561895.838737,10673.15
tls_10_512B,compute,45,37303.97598266164,1678678.919219774,0.4499999999952706
tls_10_512B,send,496,29242.96218082826,14504509.241690818,4.960000000002765
tls_10_512B,sleep,11999719,8610.946794131238,103328941853.5257,119997.19
tls_10_512B,modem,4187144,30419.684770633954,127371600569.25134,41871.44000000024
tls_10_512B,system_above_10uA,11884128,8694.651039959888,103328345874.21643,103328345874.21643
tls_10_512B,system_above_20uA,11582323,8920.802192370737,103323612411.14601,103323612411.14601
tls_10_512B,system_above_40uA,3841059,26837.67284459371,103085084818.78227,103085084818.78227
tls_10_512B,system_above_80uA,3828082,26928.504381485505,103084522909.68579,103084522909.68579
tls_10_512B,system_above_160uA,3824537,26953.352081320427,103084092309.03699,103084092309.03699
tls_20_256B,total,13223911,10291.847802705563,136098479368.52391,132239.1
tls_20_256B,setup,1177848,22855.23386029578,26919991491.88166,11778.47
tls_20_256B,compute,45949,35080.13462868483,1611897106.0534391,459.4899999999998
tls_20_256B,send,402,37584.63698655671,15109024.068595799,4.019999999991342
tls_20_256B,sleep,11999712,8962.838586994661,107551481746.42288,119997.12000000001
tls_20_256B,modem,4581291,29327.158020015173,134356245092.67334,45812.900000000096
tls_20_256B,system_above_10uA,11887388,9047.479963237125,107550904745.22545,107550904745.22545
tls_20_256B,system_above_20uA,11599935,9271.293485701075,107546401800.05591,107546401800.05591
tls_20_256B,system_above_40uA,3961509,27088.2307937246,107310270083.41714,107310270083.41714
tls_20_256B,system_above_80uA,3947856,27181.761538181578,107309680379.07938,107309680379.07938
tls_20_256B,system_above_160uA,3944278,27206.308690461297,107309244828.9953,107309244828.9953
tls_20_512B,total,13587273,12072.691832726317,164034959776.1228,135872.72
tls_20_512B,setup,3365751,21179.018879872125,71283303973.94849,33657.5
tls_20_512B,compute,45984,18820.098258109654,865423398.3009143,459.83999999998923
tls_20_512B,send,4067,9397.175104386064,38218311.14953812,40.670000000012806
tls_20_512B,sleep,10171471,9029.963718386078,91848014092.61615,101714.70999999999
tls_20_512B,modem,5080287,31943.25225209129,162280889154.0201,50802.869999999835
tls_20_512B,system_above_10uA,5019079,18296.49085660816,91831533032.09402,91831533032.09402
tls_20_512B,system_above_20uA,4885349,18796.92240302305,91829526064.68626,91829526064.68626
tls_20_512B,system_above_40uA,3069874,29895.30962297932,91774833733.53401,91774833733.53401
tls_20_512B,system_above_80uA,3062080,29971.289201030813,91774485236.69243,91774485236.69243
tls_20_512B,system_above_160uA,3059851,29993.034117215655,91774215436.59644,91774215436.59644
tls_10_256B,total,13583539,8872.012455401442,120513327196.43124,135835.38
tls_10_256B,setup,4128472,23635.855101967947,97579965984.53181,41284.71
tls_10_256B,compute,46,19658.879587604562,904308.4610298099,0.46000000000640284
tls_10_256B,send,3887,7976.200606377234,31003491.75698831,38.86999999998807
tls_10_256B,sleep,9451134,2423.1434462589937,22901453411.815548,94511.34000000001
tls_10_256B,modem,3775137,31533.854596365512,119044621239.35951,37751.36999999991
tls_10_256B,system_above_10uA,2044290,11191.115606471598,22877885723.153824,22877885723.153824
tls_10_256B,system_above_20uA,1935602,11818.703602986961,22876306331.34877,22876306331.34877
tls_10_256B,system_above_40uA,951394,24014.60659449941,22847352626.367172,22847352626.367172
tls_10_256B,system_above_80uA,944328,24193.962775451673,22847036479.816727,22847036479.816727
tls_10_256B,system_above_160uA,942582,24238.555827940098,22846826429.411434,22846826429.411434

