Label, Section, Number of samples, Average Current (uA), Total Current (uA) ,Total time(ms)
tls_20_512B,setup,1014362,24238.992846503872,24587113261.76536,10143.609999999993
tls_20_512B,compute,46007,18505.000127704345,851359540.8752939,460.07000000000335
tls_20_512B,send,4047,8944.41902869941,36198063.809146516,40.47000000000298
tls_20_512B,sleep,11999791,1360.0179810618413,16319931528.984055,119997.91
tls_20_512B,modem,1450640,27909.10930470398,40486070321.77578,14506.40000000003
tls_20_512B,system_above_10uA,1757855,9267.015433083236,16290069414.122532,16290069414.122532
tls_20_512B,system_above_20uA,1627066,10010.793174860422,16288221207.847448,16288221207.847448
tls_20_512B,system_above_40uA,749161,21708.30212959418,16263013331.708904,16263013331.708904
tls_20_512B,system_above_80uA,747596,21753.6374617846,16262932351.880322,16262932351.880322
tls_20_512B,system_above_160uA,745879,21803.433900431526,16262723474.219965,16262723474.219965
tls_10_256B,total,13031335,3058.8733549981753,39861203411.555145,130313.34
tls_10_256B,setup,1027613,24603.825568458826,25283211003.88068,10276.12
tls_10_256B,compute,45,20489.71930661372,922037.3687976173,0.4499999999952706
tls_10_256B,send,3885,7764.66606711847,30165727.670755256,38.850000000004
tls_10_256B,sleep,11999792,1212.2630661540838,14546904643.131247,119997.92
tls_10_256B,modem,1388093,27925.58527940941,38763309447.25124,13880.930000000038
tls_10_256B,system_above_10uA,1468114,9887.649888563905,14516197228.49911,14516197228.49911
tls_10_256B,system_above_20uA,1355708,10706.320874164034,14514644859.671173,14514644859.671173
tls_10_256B,system_above_40uA,649296,22323.09800993038,14494298245.455757,14494298245.455757
tls_10_256B,system_above_80uA,647962,22368.950605561186,14494229972.280638,14494229972.280638
tls_10_256B,system_above_160uA,646421,22421.98875020382,14494044389.895502,14494044389.895502
